in 	 tar 
1051 	 1 
1052 	 1 
1053 	 4 
1054 	 2 
1055 	 2 
1056 	 3 
1057 	 1 
1058 	 3 
1059 	 0 
1060 	 2 
1061 	 1 
1062 	 2 
1063 	 1 
1064 	 3 
1065 	 1 
1066 	 1 
1067 	 1 
1068 	 1 
1069 	 4 
1070 	 1 
1071 	 2 
1072 	 4 
1073 	 2 
1074 	 2 
1075 	 2 
1076 	 2 
1077 	 0 
1078 	 2 
1079 	 4 
1080 	 10 
1081 	 1 
1082 	 1 
1083 	 5 
1084 	 1 
1085 	 3 
1086 	 2 
1087 	 1 
1088 	 3 
1089 	 4 
1090 	 2 
1091 	 3 
1092 	 2 
1093 	 2 
1094 	 9 
1095 	 4 
1096 	 3 
1097 	 6 
1098 	 6 
1099 	 2 
1100 	 1 
1101 	 5 
1102 	 5 
1103 	 5 
1104 	 4 
1105 	 5 
1106 	 5 
1107 	 3 
1108 	 2 
1109 	 3 
1110 	 1 
1111 	 1 
1112 	 0 
1113 	 1 
1114 	 1 
1115 	 5 
1116 	 2 
1117 	 2 
1118 	 1 
1119 	 1 
1120 	 6 
1121 	 7 
1122 	 2 
1123 	 2 
1124 	 5 
1125 	 0 
1126 	 9 
1127 	 5 
1128 	 4 
1129 	 0 
1130 	 2 
1131 	 3 
1132 	 4 
1133 	 3 
1134 	 6 
1135 	 6 
1136 	 6 
1137 	 5 
1138 	 1 
1139 	 1 
1140 	 18 
1141 	 5 
1142 	 6 
1143 	 5 
1144 	 7 
1145 	 5 
1146 	 7 
1147 	 9 
1148 	 7 
1149 	 11 
1150 	 13 
1151 	 5 
1152 	 8 
1153 	 5 
1154 	 7 
1155 	 5 
1156 	 7 
1157 	 6 
1158 	 4 
1159 	 6 
1160 	 8 
1161 	 7 
1162 	 11 
1163 	 12 
1164 	 5 
1165 	 7 
1166 	 7 
1167 	 4 
1168 	 8 
1169 	 4 
1170 	 5 
1171 	 3 
1172 	 4 
1173 	 7 
1174 	 2 
1175 	 4 
1176 	 7 
1177 	 4 
1178 	 3 
1179 	 1 
1180 	 3 
1181 	 1 
1182 	 3 
1183 	 1 
1184 	 5 
1185 	 0 
1186 	 3 
1187 	 5 
1188 	 2 
1189 	 6 
1190 	 3 
1191 	 5 
1192 	 0 
1193 	 2 
1194 	 1 
1195 	 2 
1196 	 4 
1197 	 2 
1198 	 3 
1199 	 5 
1200 	 21 
1201 	 7 
1202 	 7 
1203 	 7 
1204 	 6 
1205 	 9 
1206 	 2 
1207 	 7 
1208 	 5 
1209 	 11 
1210 	 9 
1211 	 5 
1212 	 8 
1213 	 7 
1214 	 13 
1215 	 8 
1216 	 4 
1217 	 10 
1218 	 8 
1219 	 10 
1220 	 7 
1221 	 3 
1222 	 1 
1223 	 1 
1224 	 1 
1225 	 4 
1226 	 4 
1227 	 6 
1228 	 4 
1229 	 2 
1230 	 7 
1231 	 3 
1232 	 5 
1233 	 3 
1234 	 2 
1235 	 8 
1236 	 3 
1237 	 5 
1238 	 7 
1239 	 2 
1240 	 3 
1241 	 2 
1242 	 5 
1243 	 10 
1244 	 4 
1245 	 4 
1246 	 4 
1247 	 2 
1248 	 1 
1249 	 1 
1250 	 8 
1251 	 3 
1252 	 2 
1253 	 3 
1254 	 5 
1255 	 3 
1256 	 4 
1257 	 9 
1258 	 4 
1259 	 1 
1260 	 8 
1261 	 3 
1262 	 3 
1263 	 3 
1264 	 5 
1265 	 2 
1266 	 2 
1267 	 3 
1268 	 4 
1269 	 5 
1270 	 3 
1271 	 2 
1272 	 4 
1273 	 3 
1274 	 1 
1275 	 7 
1276 	 2 
1277 	 2 
1278 	 2 
1279 	 2 
1280 	 0 
1281 	 3 
1282 	 2 
1283 	 2 
1284 	 3 
1285 	 1 
1286 	 3 
1287 	 3 
1288 	 2 
1289 	 4 
1290 	 2 
1291 	 2 
1292 	 3 
1293 	 2 
1294 	 3 
1295 	 7 
1296 	 7 
1297 	 3 
1298 	 3 
1299 	 6 
1300 	 7 
1301 	 5 
1302 	 3 
1303 	 5 
1304 	 2 
1305 	 3 
1306 	 2 
1307 	 1 
1308 	 1 
1309 	 3 
1310 	 1 
1311 	 1 
1312 	 4 
1313 	 7 
1314 	 2 
1315 	 8 
1316 	 0 
1317 	 5 
1318 	 5 
1319 	 1 
1320 	 10 
1321 	 0 
1322 	 3 
1323 	 2 
1324 	 1 
1325 	 4 
1326 	 3 
1327 	 1 
1328 	 2 
1329 	 3 
1330 	 3 
1331 	 3 
1332 	 6 
1333 	 3 
1334 	 4 
1335 	 2 
1336 	 3 
1337 	 1 
1338 	 4 
1339 	 4 
1340 	 3 
1341 	 2 
1342 	 4 
1343 	 3 
1344 	 4 
1345 	 8 
1346 	 1 
1347 	 5 
1348 	 2 
1349 	 9 
1350 	 0 
1351 	 5 
1352 	 0 
1353 	 5 
1354 	 4 
1355 	 4 
1356 	 2 
1357 	 1 
1358 	 0 
1359 	 8 
1360 	 7 
1361 	 1 
1362 	 1 
1363 	 3 
1364 	 3 
1365 	 0 
1366 	 1 
1367 	 5 
1368 	 2 
1369 	 2 
1370 	 4 
1371 	 7 
1372 	 2 
1373 	 3 
1374 	 1 
1375 	 6 
1376 	 3 
1377 	 4 
1378 	 2 
1379 	 1 
1380 	 8 
1381 	 4 
1382 	 6 
1383 	 3 
1384 	 7 
1385 	 4 
1386 	 1 
1387 	 7 
1388 	 1 
1389 	 1 
1390 	 0 
1391 	 5 
1392 	 2 
1393 	 2 
1394 	 3 
1395 	 2 
1396 	 1 
1397 	 7 
1398 	 1 
1399 	 2 
1400 	 9 
1401 	 0 
1402 	 2 
1403 	 0 
1404 	 1 
1405 	 5 
1406 	 5 
1407 	 0 
1408 	 3 
1409 	 2 
1410 	 4 
1411 	 8 
1412 	 2 
1413 	 0 
1414 	 7 
1415 	 1 
1416 	 1 
1417 	 4 
1418 	 6 
1419 	 2 
1420 	 0 
1421 	 1 
1422 	 2 
1423 	 6 
1424 	 0 
1425 	 5 
1426 	 2 
1427 	 1 
1428 	 7 
1429 	 2 
1430 	 1 
1431 	 1 
1432 	 2 
1433 	 6 
1434 	 0 
1435 	 3 
1436 	 4 
1437 	 3 
1438 	 2 
1439 	 3 
1440 	 9 
1441 	 1 
1442 	 6 
1443 	 1 
1444 	 5 
1445 	 2 
1446 	 0 
1447 	 1 
1448 	 0 
1449 	 2 
1450 	 1 
1451 	 3 
1452 	 5 
1453 	 0 
1454 	 1 
1455 	 5 
1456 	 0 
1457 	 0 
1458 	 1 
1459 	 2 
1460 	 0 
1461 	 0 
1462 	 6 
1463 	 1 
1464 	 1 
1465 	 0 
1466 	 3 
1467 	 3 
1468 	 2 
1469 	 1 
1470 	 0 
1471 	 2 
1472 	 3 
1473 	 0 
1474 	 2 
1475 	 1 
1476 	 3 
1477 	 0 
1478 	 0 
1479 	 5 
1480 	 3 
1481 	 0 
1482 	 58 
1483 	 4 
1484 	 2 
1485 	 1 
1486 	 1 
1487 	 4 
1488 	 0 
1489 	 0 
1490 	 4 
1491 	 1 
1492 	 0 
1493 	 0 
1494 	 9 
1495 	 0 
1496 	 1 
1497 	 0 
1498 	 1 
1499 	 0 
1500 	 8 
1501 	 1 
1502 	 0 
1503 	 4 
1504 	 1 
1505 	 0 
1506 	 1 
1507 	 3 
1508 	 3 
1509 	 1 
1510 	 3 
1511 	 1 
1512 	 0 
1513 	 3 
1514 	 9 
1515 	 47 
1516 	 2 
1517 	 0 
1518 	 3 
1519 	 0 
1520 	 4 
1521 	 63 
1522 	 38 
1523 	 7 
1524 	 81 
1525 	 81 
1526 	 126 
1527 	 108 
1528 	 55 
1529 	 30 
1530 	 16 
1531 	 36 
1532 	 22 
1533 	 9 
1534 	 21 
1535 	 7 
1536 	 19 
1537 	 24 
1538 	 4 
1539 	 7 
1540 	 7 
1541 	 10 
1542 	 38 
1543 	 8 
1544 	 22 
1545 	 7 
1546 	 27 
1547 	 39 
1548 	 3 
1549 	 2 
1550 	 1 
1551 	 2 
1552 	 0 
1553 	 9 
1554 	 11 
1555 	 1 
1556 	 4 
1557 	 11 
1558 	 14 
1559 	 12 
1560 	 17 
1561 	 6 
1562 	 28 
1563 	 2 
1564 	 5 
1565 	 2 
1566 	 1 
1567 	 3 
1568 	 5 
1569 	 1 
1570 	 5 
1571 	 2 
1572 	 0 
1573 	 0 
1574 	 2 
1575 	 0 
1576 	 1 
1577 	 19 
1578 	 28 
1579 	 20 
1580 	 0 
1581 	 10 
1582 	 1 
1583 	 2 
1584 	 59 
1585 	 30 
1586 	 19 
1587 	 75 
1588 	 89 
1589 	 97 
1590 	 113 
1591 	 133 
1592 	 30 
1593 	 51 
1594 	 96 
1595 	 69 
1596 	 60 
1597 	 30 
1598 	 30 
1599 	 0 
1600 	 15 
1601 	 15 
1602 	 0 
1603 	 0 
1604 	 0 
1605 	 0 
1606 	 0 
1607 	 0 
1608 	 0 
1609 	 0 
1610 	 59 
1611 	 17 
1612 	 0 
1613 	 15 
1614 	 8 
1615 	 0 
1616 	 15 
1617 	 15 
1618 	 0 
1619 	 0 
1620 	 5 
1621 	 0 
1622 	 0 
1623 	 0 
1624 	 0 
1625 	 9 
1626 	 16 
1627 	 13 
1628 	 5 
1629 	 14 
1630 	 6 
1631 	 8 
1632 	 13 
1633 	 0 
1634 	 8 
1635 	 0 
1636 	 0 
1637 	 0 
1638 	 14 
1639 	 0 
1640 	 22 
1641 	 42 
1642 	 34 
1643 	 15 
1644 	 30 
1645 	 60 
1646 	 30 
1647 	 35 
1648 	 30 
1649 	 19 
1650 	 18 
1651 	 14 
1652 	 2 
1653 	 15 
1654 	 13 
1655 	 30 
1656 	 0 
1657 	 58 
1658 	 65 
1659 	 69 
1660 	 47 
1661 	 60 
1662 	 45 
1663 	 0 
1664 	 30 
1665 	 15 
1666 	 0 
1667 	 14 
1668 	 16 
1669 	 0 
1670 	 15 
1671 	 8 
1672 	 43 
1673 	 20 
1674 	 0 
1675 	 1 
1676 	 16 
1677 	 45 
1678 	 15 
1679 	 0 
1680 	 6 
1681 	 15 
1682 	 14 
1683 	 14 
1684 	 8 
1685 	 0 
1686 	 5 
1687 	 5 
1688 	 1 
1689 	 30 
1690 	 0 
1691 	 0 
1692 	 0 
1693 	 30 
1694 	 15 
1695 	 15 
1696 	 30 
1697 	 22 
1698 	 22 
1699 	 35 
1700 	 30 
1701 	 17 
1702 	 0 
1703 	 1 
1704 	 1 
1705 	 2 
1706 	 15 
1707 	 14 
1708 	 15 
1709 	 19 
1710 	 5 
1711 	 0 
1712 	 8 
1713 	 0 
1714 	 4 
1715 	 26 
1716 	 30 
1717 	 14 
1718 	 17 
1719 	 0 
1720 	 0 
1721 	 9 
1722 	 0 
1723 	 31 
1724 	 20 
1725 	 35 
1726 	 15 
1727 	 7 
1728 	 0 
1729 	 0 
1730 	 1 
1731 	 1 
1732 	 16 
1733 	 15 
1734 	 0 
1735 	 1 
1736 	 0 
1737 	 19 
1738 	 0 
1739 	 0 
1740 	 20 
1741 	 30 
1742 	 30 
1743 	 15 
1744 	 1 
1745 	 0 
1746 	 1 
1747 	 15 
1748 	 0 
1749 	 15 
1750 	 0 
1751 	 1 
1752 	 0 
1753 	 31 
1754 	 21 
1755 	 2 
1756 	 5 
1757 	 15 
1758 	 2 
1759 	 33 
1760 	 30 
1761 	 5 
1762 	 2 
1763 	 6 
1764 	 25 
1765 	 7 
1766 	 7 
1767 	 0 
1768 	 0 
1769 	 1 
1770 	 15 
1771 	 16 
1772 	 23 
1773 	 12 
1774 	 15 
1775 	 10 
1776 	 3 
1777 	 2 
1778 	 1 
1779 	 5 
1780 	 19 
1781 	 0 
1782 	 0 
1783 	 6 
1784 	 5 
1785 	 1 
1786 	 0 
1787 	 0 
1788 	 6 
1789 	 15 
1790 	 5 
1791 	 5 
1792 	 0 
1793 	 1 
1794 	 0 
1795 	 12 
1796 	 4 
1797 	 0 
1798 	 0 
1799 	 0 
1800 	 13 
1801 	 1 
1802 	 5 
1803 	 1 
1804 	 20 
1805 	 0 
1806 	 0 
1807 	 0 
1808 	 0 
1809 	 1 
1810 	 5 
1811 	 5 
1812 	 8 
1813 	 4 
1814 	 0 
1815 	 1 
1816 	 2 
1817 	 7 
