1319420143.0;E;2812;WMPAuthorizer;checkProxy
1319420156.0;E;2949;WMPAuthorizer;checkProxy
1319420156.0;E;2949;WMPAuthorizer;checkProxy
1319420185.0;E;2816;WMPAuthorizer;checkProxy
1319420195.0;E;2812;WMPAuthorizer;checkProxy
1319420195.0;E;2812;WMPAuthorizer;checkProxy
1319420244.0;E;14089;WMPAuthorizer;checkProxy
1319420262.0;E;13986;WMPAuthorizer;checkProxy
1319420262.0;E;13986;WMPAuthorizer;checkProxy
1319420287.0;E;14089;WMPAuthorizer;checkProxy
1319420298.0;E;14089;WMPAuthorizer;checkProxy
1319420308.0;E;14089;WMPAuthorizer;checkProxy
1319420308.0;E;14089;WMPAuthorizer;checkProxy
1319420314.0;E;14089;WMPAuthorizer;checkProxy
1319420314.0;E;14089;WMPAuthorizer;checkProxy
1319420337.0;E;15030;WMPAuthorizer;checkProxy
1319420352.0;E;15037;WMPAuthorizer;checkProxy
1319420352.0;E;15037;WMPAuthorizer;checkProxy
1319420386.0;E;15065;WMPAuthorizer;checkProxy
1319420408.0;E;15047;WMPAuthorizer;checkProxy
1319420408.0;E;15047;WMPAuthorizer;checkProxy
1319420438.0;E;15030;WMPAuthorizer;checkProxy
1319420451.0;E;14089;WMPAuthorizer;checkProxy
1319420451.0;E;14089;WMPAuthorizer;checkProxy
1319420459.0;E;15037;WMPAuthorizer;checkProxy
1319420467.0;E;14089;WMPAuthorizer;checkProxy
1319420467.0;E;14089;WMPAuthorizer;checkProxy
1319420486.0;E;15037;WMPAuthorizer;checkProxy
1319420513.0;E;13986;WMPAuthorizer;checkProxy
1319420513.0;E;13986;WMPAuthorizer;checkProxy
1319420562.0;E;15030;WMPAuthorizer;checkProxy
1319420573.0;E;15047;WMPAuthorizer;checkProxy
1319420573.0;E;15047;WMPAuthorizer;checkProxy
1319420592.0;E;14089;WMPAuthorizer;checkProxy
1319420596.0;W;15030;WMPAuthorizer;checkGaclUserAuthZ
1319420603.0;E;15982;WMPAuthorizer;checkProxy
1319420603.0;E;15982;WMPAuthorizer;checkProxy
1319420620.0;E;16267;WMPAuthorizer;checkProxy
1319420632.0;E;16119;WMPAuthorizer;checkProxy
1319420632.0;E;16119;WMPAuthorizer;checkProxy
1319420647.0;E;16128;WMPAuthorizer;checkProxy
1319420660.0;E;16134;WMPAuthorizer;checkProxy
1319420660.0;E;16134;WMPAuthorizer;checkProxy
1319420750.0;E;14089;WMPAuthorizer;checkProxy
1319420763.0;E;16119;WMPAuthorizer;checkProxy
1319420763.0;E;16119;WMPAuthorizer;checkProxy
1319420807.0;E;15037;WMPAuthorizer;checkProxy
